prestashop_product_id,shobi_code,inspired_by,fragrantica_id,fragrantica_url,image_url,local_path,status,detail
2190,123-INI,PSYCHEDELIC LOVE - INITIO PARFUMS PRIVES,45977,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Psychedelic-Love-45977.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.45977.avif,perfume-images/45977.avif,DOWNLOADED,image/avif
312,1233-PAC,PURE XS EDT,46038,https://www.fragrantica.com/perfume/Rabanne/Pure-XS-46038.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.46038.avif,perfume-images/46038.avif,DOWNLOADED,image/avif
2625,1770-BON,NEW YORK NIGHTS - BOND,46057,https://www.fragrantica.com/perfume/Bond-No-9/New-York-Nights-46057.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.46057.avif,perfume-images/46057.avif,DOWNLOADED,image/avif
2269,1528-KUR,BACCARAT ROUGE 540 EXTRAIT,46066,https://www.fragrantica.com/p/46066,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.46066.avif,perfume-images/46066.avif,DOWNLOADED,image/avif
3572,2139-XER,Cruz del Sur I,46097,https://www.fragrantica.com/perfume/Xerjoff/Cruz-del-Sur-I-46097.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.46097.avif,perfume-images/46097.avif,DOWNLOADED,image/avif
2695,1817-JUL,SUNNY SIDE UP - JULIETTE HAS A GUN,46128,https://www.fragrantica.com/perfume/Juliette-Has-A-Gun/Sunny-Side-Up-46128.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.46128.avif,perfume-images/46128.avif,DOWNLOADED,image/avif
774,707-HER,TWILLY D'HERMES,46145,https://www.fragrantica.com/perfume/Hermes/Twilly-d-Hermes-46145.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.46145.avif,perfume-images/46145.avif,DOWNLOADED,image/avif
3937,2295-FLOR,ONE UMBRELLA FOR TWO - FLORAIKU,46165,https://www.fragrantica.com/p/46165,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.46165.avif,perfume-images/46165.avif,DOWNLOADED,image/avif
4280,2545-MEM,Kedu Sesame Memo Paris,46179,https://www.fragrantica.com/perfume/Memo-Paris/Kedu-Sesame-46179.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.46179.avif,perfume-images/46179.avif,DOWNLOADED,image/avif
686,598-ESC,notes ofCELEBRATE NOW - ESCADA,46180,https://www.fragrantica.com/p/46180,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.46180.avif,perfume-images/46180.avif,DOWNLOADED,image/avif
867,822-MIC,SEXY RUBY - KORS,46182,https://www.fragrantica.com/perfume/Michael-Kors/Sexy-Ruby-46182.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.46182.avif,perfume-images/46182.avif,DOWNLOADED,image/avif
4433,2626-JOM,English Oak & Redcurrant Jo Malone,46186,https://www.fragrantica.com/perfume/Jo-Malone-London/English-Oak-Redcurrant-46186.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.46186.avif,perfume-images/46186.avif,DOWNLOADED,image/avif
2740,1542-JOM,English Oak & Redcurrant by Jo Malone London,46186,https://www.fragrantica.com/perfume/Jo-Malone-London/English-Oak-Redcurrant-46186.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.46186.avif,perfume-images/46186.avif,DOWNLOADED,image/avif
1157,250-JOM,English Oak & Hazelnut - Jo Malone,46187,https://www.fragrantica.com/perfume/Jo-Malone-London/English-Oak-Hazelnut-46187.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.46187.avif,perfume-images/46187.avif,DOWNLOADED,image/avif
2763,1865-YZLO,MAGNIFICENT GOLD,46243,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Magnificent-Gold-46243.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.46243.avif,perfume-images/46243.avif,DOWNLOADED,image/avif
342,1266-TRU,RIFLESSO,46287,https://www.fragrantica.com/perfume/Trussardi/Riflesso-46287.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.46287.avif,perfume-images/46287.avif,DOWNLOADED,image/avif
4036,2344-LEL,MOUSSE DE CHENE 30 - LE LABO,46295,https://www.fragrantica.com/perfume/Le-Labo/Mousse-de-Chene-30-Amsterdam-46295.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.46295.avif,perfume-images/46295.avif,DOWNLOADED,image/avif
3817,2221-AMG,Beach Hut Man,46336,https://www.fragrantica.com/perfume/Amouage/Beach-Hut-Man-46336.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.46336.avif,perfume-images/46336.avif,DOWNLOADED,image/avif
556,455-BYR,VELVET HAZE,46358,https://www.fragrantica.com/perfume/Byredo/Velvet-Haze-46358.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.46358.avif,perfume-images/46358.avif,DOWNLOADED,image/avif
4645,2697-RIT,Karma Rituals,46391,https://www.fragrantica.com/p/46391,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.46391.avif,perfume-images/46391.avif,DOWNLOADED,image/avif
823,768-KIL,WOMAN IN GOLD - KILIAN,46469,https://www.fragrantica.com/perfume/By-Kilian/Woman-in-Gold-46469.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.46469.avif,perfume-images/46469.avif,DOWNLOADED,image/avif
4305,1194-KIL,Gold Knight Kilian,46470,https://www.fragrantica.com/perfume/By-Kilian/Gold-Knight-46470.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.46470.avif,perfume-images/46470.avif,DOWNLOADED,image/avif
4789,2728-PEN,The Uncompromising Sohan,46503,https://www.fragrantica.com/perfume/Penhaligon-s/The-Uncompromising-Sohan-46503.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.46503.avif,perfume-images/46503.avif,DOWNLOADED,image/avif
2094,160-PEN,BEWITCHING YASMINE,46504,https://www.fragrantica.com/perfume/Penhaligon-s/The-Bewitching-Yasmine-46504.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.46504.avif,perfume-images/46504.avif,DOWNLOADED,image/avif
1238,346-TMFO,FUCKING FABULOUS,46513,https://www.fragrantica.com/perfume/Tom-Ford/Fucking-Fabulous-46513.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.46513.avif,perfume-images/46513.avif,DOWNLOADED,image/avif
