prestashop_product_id,shobi_code,inspired_by,original_brand,original_perfume,identity_status,fragrantica_status,fragrantica_id,fragrantica_url,social_card_url,local_path,card_status,bytes,sha256,error
4242,2494-BYR,Super Cedar,Byredo,Super Cedar,CONFIRMED,FOUND,35530,https://www.fragrantica.com/perfume/Byredo/Super-Cedar-35530.html,https://fimgs.net/mdimg/perfume-social-cards/en-p_c_35530.jpeg,fragrantica-scraper-archive/social-cards/images/4242_2494-BYR_35530.jpeg,EXISTS,93329,256b44cbcd7e10d81b774542b3cb8c0518eccfc70af8a04df4b9ed5c4fe4e977,
4241,2493-SERG,Nuit de Cellophane Serge Lutens,Serge Lutens,Nuit De Cellophane,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4240,2492-ETLR,You Or Someone Like You Etat Libre d'Orange,Etat Libre d Orange,You-or-someone-like-you,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4239,2490-MARG,On A Date,Maison Margiela,On-a-date-1,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4238,2489-KKWI,Red Lips KKW,KKW Fragrance,Red Lips,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4237,2488-ANN,Fantasia Mermaid Anna Sui,Anna Sui,Fantasia Mermaid,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4236,2486-MA,Velvet Teddy MAC,MAC,Velvet Teddy MAC,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4235,2483-CLEA,Clean Skin Clean,,,AMBIGUOUS,NOT_FOUND,,,,,NO_CONFIRMED_ID,,,
4234,2482-CLEA,Cool Cotton Clean,,,AMBIGUOUS,NOT_FOUND,,,,,NO_CONFIRMED_ID,,,
4233,2480-JUL,Anyway Juliette Has A Gun,Juliette Has a Gun,Anyway,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4232,2479-PHL,Father Figure Phlur,Phlur,Father-figure,CONFIRMED,FOUND,83775,https://www.fragrantica.com/perfume/Phlur/Father-Figure-83775.html,https://fimgs.net/mdimg/perfume-social-cards/en-p_c_83775.jpeg,fragrantica-scraper-archive/social-cards/images/4232_2479-PHL_83775.jpeg,EXISTS,100505,1282168bd49dc8707c3d4c83e8339091b08bc6def131492d27bebcd216b905ad,
4231,2503-JUL,Mad Madame Juliette Has A Gun,Juliette Has a Gun,Mad Madame,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
