prestashop_product_id,shobi_code,fragrantica_id,gender,gender_source,gender_ocr_text,winter,spring,summer,fall,main_season,season_confidence,season_margin,local_path
277,1192-KEN,1673,,OCR_UNRESOLVED,tokyo dy kenzo ae kenzo bees formen main accords citrus oy tokyo dy kenzo ath kenzo formen main accords citrus oy,0.1370,0.3764,0.2593,0.2989,spring,MEDIUM,0.0775,fragrantica-scraper-archive/social-cards/images/277_1192-KEN_1673.jpeg
271,1184-JOO,1251,,OCR_UNRESOLVED,joop homme joop iene formen main accords vanilla a joop homme joop elistr formen main accords vanilla,0.4963,0.1550,0.1074,0.3875,winter,HIGH,0.1088,fragrantica-scraper-archive/social-cards/images/271_1184-JOO_1251.jpeg
268,1181-GUL,30947,,OCR_UNRESOLVED,eee ae rate ran jean paul gaultier ae formen lu main accords lal vanilla ee wah nes ultra male vos jean paul gaultier formen main accords vanilla ee,0.4111,0.2362,0.1074,0.3875,winter,MEDIUM,0.0237,fragrantica-scraper-archive/social-cards/images/268_1181-GUL_30947.jpeg
267,1180-GUL,9502,,OCR_UNRESOLVED,ea eis a le male lerrible jean paul gaultier aeaee formen main accords le male lerriple jean paul gaultier formen main accords es fq eens,0.3370,0.2989,0.1704,0.3616,fall,MEDIUM,0.0246,fragrantica-scraper-archive/social-cards/images/267_1180-GUL_9502.jpeg
266,1179-GUL,430,,OCR_UNRESOLVED,le male ae jean paul gaultier este formen fe l main accords lant er a ira eee le male ca ce jean paul gaultier a formen main accords,0.3370,0.3653,0.1815,0.3063,spring,MEDIUM,0.0283,fragrantica-scraper-archive/social-cards/images/266_1179-GUL_430.jpeg
263,1175-JAC,1454,,OCR_UNRESOLVED,bl capri ae paradox tor men ed iia jacomo le aeiaa formen main accords paradox tor men jacomo formen main accords nee oe ee,0.1296,0.3432,0.3741,0.2878,summer,MEDIUM,0.0309,fragrantica-scraper-archive/social-cards/images/263_1175-JAC_1454.jpeg
256,1169-HUG,31445,,OCR_UNRESOLVED,peete aati boss he scent hugo boss sees formen main accords freshspicy ce boss the scent pe formen hugo boss oe main accords,0.3370,0.2435,0.1074,0.4133,fall,MEDIUM,0.0762,fragrantica-scraper-archive/social-cards/images/256_1169-HUG_31445.jpeg
255,1168-HUG,42484,,OCR_UNRESOLVED,papen es eon be hugo iced hugo boss meetin formen main accords p oy hugo iced hugo boss formen main accords oy,0.1259,0.4354,0.4963,0.1439,summer,MEDIUM,0.0609,fragrantica-scraper-archive/social-cards/images/255_1168-HUG_42484.jpeg
252,1164-HUG,571,,OCR_UNRESOLVED,gaberatea ree boss elements hugo boss leen formen main accords dy eter boss elements i hugo boss ones ea formen main accords a,0.2000,0.3210,0.2741,0.3875,fall,MEDIUM,0.0664,fragrantica-scraper-archive/social-cards/images/252_1164-HUG_571.jpeg
246,1156-HER,17,,OCR_UNRESOLVED,mi r arn eed terre d hermes herme s seen formen main accords citrus oj a fs ke lerre d hermes pe hermes rees formen main accords citrus a,0.1963,0.3210,0.2741,0.3616,fall,MEDIUM,0.0406,fragrantica-scraper-archive/social-cards/images/246_1156-HER_17.jpeg
240,1150-GLA,2069,,OCR_UNRESOLVED,eee dra nooir guy laroche re aaeees formen y main accords ts drakkar noir guy laroche formen main accords ee,0.3370,0.3653,0.1815,0.3616,TIE,TIE,0.0037,fragrantica-scraper-archive/social-cards/images/240_1150-GLA_2069.jpeg
230,1140-GIV,858,,OCR_UNRESOLVED,insense ultramarine givenchy ee formen a main accords ps oe fey bat insense ultramarine uy givenchy capes formen main accords oe,0.1259,0.3875,0.4963,0.1439,summer,HIGH,0.1088,fragrantica-scraper-archive/social-cards/images/230_1140-GIV_858.jpeg
225,1133-ARM,412,,OCR_UNRESOLVED,armani code ag giorgio armani peta formen main accords citrus a armani code apfiaeie eee giorgio armani formen main accords citrus,0.3815,0.1993,0.1111,0.3764,TIE,TIE,0.0051,fragrantica-scraper-archive/social-cards/images/225_1133-ARM_412.jpeg
224,1132-ARM,1067,,OCR_UNRESOLVED,armani attitude giorgio armani eran ect formen main accords ry fs armani athitude giorgio armani formen main accords,0.4185,0.1882,0.1074,0.3875,winter,MEDIUM,0.0311,fragrantica-scraper-archive/social-cards/images/224_1132-ARM_1067.jpeg
221,1129-ARM,24601,,OCR_UNRESOLVED,armani code ice a giorgio armani acsenn formen lf main accords i fs armani code ice giorgio armani formen main accords,0.1296,0.3653,0.3815,0.2878,TIE,TIE,0.0162,fragrantica-scraper-archive/social-cards/images/221_1129-ARM_24601.jpeg
220,1128-ARM,42895,,OCR_UNRESOLVED,armani code colonia sabet atebe bene fae giorgio armani ere formen main accords citrus fy oe armani code colonia ii giorgio armani formen main accords citrus fy,0.1259,0.3764,0.3593,0.2325,TIE,TIE,0.0171,fragrantica-scraper-archive/social-cards/images/220_1128-ARM_42895.jpeg
216,1123-ARM,410,,OCR_UNRESOLVED,acqua dl glo oe ee giorgio armani once formen main accords citrus es aie acqua dl g o fe res giorgio armani bart formen main accords citrus es,0.1259,0.3875,0.5630,0.1439,summer,HIGH,0.1755,fragrantica-scraper-archive/social-cards/images/216_1123-ARM_410.jpeg
213,1120-FER,24450,,OCR_UNRESOLVED,cedar essence ee ae ferrari senne formen main accords a ree nr cedar essence ferrari opt gl formen main accords,0.1259,0.3875,0.4296,0.1882,summer,MEDIUM,0.0422,fragrantica-scraper-archive/social-cards/images/213_1120-FER_24450.jpeg
211,1118-FAB,38206,,OCR_UNRESOLVED,eae erul faberge seca formen main accords yt ee alba tas brut faberge formen main accords eee,0.2444,0.3210,0.2741,0.2878,spring,MEDIUM,0.0332,fragrantica-scraper-archive/social-cards/images/211_1118-FAB_38206.jpeg
210,1117-EST,533,,OCR_UNRESOLVED,ener ea intuition tor men est e lauder aeons formen main accords gu l a er intuition tor men estee lauder foopeenti a ha formen main accords,0.1963,0.3875,0.2741,0.3063,spring,MEDIUM,0.0812,fragrantica-scraper-archive/social-cards/images/210_1117-EST_533.jpeg
209,1116-ZEG,28142,,OCR_UNRESOLVED,baumert tga uomo absolute ermenegildo zegna ee formen main accords ee uomo absolute ermenegildo zegna formen main accords eee,0.2444,0.3210,0.1370,0.3875,fall,MEDIUM,0.0664,fragrantica-scraper-archive/social-cards/images/209_1116-ZEG_28142.jpeg
204,1113-DSQ,27438,,OCR_UNRESOLVED,n ly gates dsquared see formen ii main accords cy ny a fs wud dsquared oun formen main accords qp,0.1370,0.3321,0.2815,0.3100,spring,MEDIUM,0.0221,fragrantica-scraper-archive/social-cards/images/204_1113-DSQ_27438.jpeg
202,1111-DSQ,1936,,OCR_UNRESOLVED,he wood dsquared ree formen main accords he wood rance mien ea dsquared formen main accords,0.1370,0.3653,0.2741,0.3616,TIE,TIE,0.0037,fragrantica-scraper-archive/social-cards/images/202_1111-DSQ_1936.jpeg
198,1107-DIE,39383,,OCR_UNRESOLVED,iets es peat bad aoe diesel tome ee formen or x main accords s romie a fue a diesel gees formen r by main accords yy xt,0.3370,0.2435,0.1481,0.3875,fall,MEDIUM,0.0504,fragrantica-scraper-archive/social-cards/images/198_1107-DIE_39383.jpeg
