prestashop_product_id,shobi_code,fragrantica_id,gender,gender_source,gender_ocr_text,winter,spring,summer,fall,main_season,season_confidence,season_margin,local_path,actual_longest,actual_longest_value,runner_up,runner_up_value,actual_margin
2377,1639-TER,25120,unisex,SOCIAL_CARD_OCR,sean eke casanova reger urte tiziana terenzi see for women and men ke main accords casanova tiziana terenzi oe for women and men main accords,0.2037,0.3653,0.2741,0.3616,TIE,TIE,0.0037,fragrantica-scraper-archive/social-cards/images/2377_1639-TER_25120.jpeg,spring,0.3653,fall,0.3616,0.0037
2374,1638-XER,21617,unisex,SOCIAL_CARD_OCR,peace tate xerjoft for women and men main accords ni amber a nit ci star musk aa aay om xerjoft for women and men main accords,0.3556,0.2989,0.1222,0.3616,TIE,TIE,0.0061,fragrantica-scraper-archive/social-cards/images/2374_1638-XER_21617.jpeg,fall,0.3616,winter,0.3556,0.0060
2352,1622-FRA,44128,unisex,SOCIAL_CARD_OCR,si rate s er cocaine ae franck boclet leer for women and men main accords white floral fete cocaine ae tae franck boclet for women and men main accords white floral,0.4000,0.1882,0.1222,0.3875,TIE,TIE,0.0125,fragrantica-scraper-archive/social-cards/images/2352_1622-FRA_44128.jpeg,winter,0.4000,fall,0.3875,0.0125
2351,1624-XER,55782,unisex,SOCIAL_CARD_OCR,sr la capitale oe xerjoff he cred for women and men y main accords fy crt filet la capitale fea xerjoft bais for women and men main accords,0.3370,0.3653,0.1481,0.3616,TIE,TIE,0.0037,fragrantica-scraper-archive/social-cards/images/2351_1624-XER_55782.jpeg,spring,0.3653,fall,0.3616,0.0037
2349,1635-XER,11801,female,SOCIAL_CARD_OCR,ear ghee lira casamorati aie ae for women main accords vanilla ira aie he casamorati for women main accords vanilla il an,0.3741,0.2362,0.1222,0.3764,TIE,TIE,0.0023,fragrantica-scraper-archive/social-cards/images/2349_1635-XER_11801.jpeg,fall,0.3764,winter,0.3741,0.0023
2348,1627-CLIV,50752,female,SOCIAL_CARD_OCR,axl art deco vanilla orchid clive christian a seat for women main accords ee aai art deco vanilla orchid for women clive christian main accords green od,0.2037,0.3653,0.3481,0.3063,TIE,TIE,0.0172,fragrantica-scraper-archive/social-cards/images/2348_1627-CLIV_50752.jpeg,spring,0.3653,summer,0.3481,0.0172
2347,1621-NAS,62775,unisex,SOCIAL_CARD_OCR,pree ene baci eth rarer ae t stir aha kantomas es paguea nasomatto ae ages for women and men main accords sweet fy ae cae fantomas les nasomatto me oul for women and men main accords fy,0.3370,0.3653,0.2741,0.3616,TIE,TIE,0.0037,fragrantica-scraper-archive/social-cards/images/2347_1621-NAS_62775.jpeg,spring,0.3653,fall,0.3616,0.0037
2346,1623-ARM,31209,unisex,SOCIAL_CARD_OCR,ambre eccentrico giorgio armani sete for women and men main accords a ambre eccentrico giorgio armani for women and men main accords,0.4407,0.1181,0.1074,0.4465,TIE,TIE,0.0058,fragrantica-scraper-archive/social-cards/images/2346_1623-ARM_31209.jpeg,fall,0.4465,winter,0.4407,0.0058
2339,1632-PAC,68226,male,SOCIAL_CARD_OCR,phantom ae raccpuee rabanne one eee for men main accords citrus phantom be a rabanne ope for men main accords citrus,0.2630,0.3100,0.2074,0.3100,TIE,TIE,0.0000,fragrantica-scraper-archive/social-cards/images/2339_1632-PAC_68226.jpeg,spring,0.3100,fall,0.3100,0.0000
2337,1619-NISH,37602,unisex,SOCIAL_CARD_OCR,hundred suient ways oe nishane ies for women and men br main accords white floral eee hundred silent ways nishane iets for women and men main accords white floral pil,0.3370,0.3653,0.1593,0.3616,TIE,TIE,0.0037,fragrantica-scraper-archive/social-cards/images/2337_1619-NISH_37602.jpeg,spring,0.3653,fall,0.3616,0.0037
2333,1617-MNT,4059,female,SOCIAL_CARD_OCR,vanilla extasy montale biceps for women e main accords vanilla ff ny vanilla extasy montale op for women main accords vanilla ny,0.3741,0.2362,0.1370,0.3875,TIE,TIE,0.0134,fragrantica-scraper-archive/social-cards/images/2333_1617-MNT_4059.jpeg,fall,0.3875,winter,0.3741,0.0134
2329,100-AMG,2366,male,SOCIAL_CARD_OCR,jubilation xaxv man amouage ee for men main accords pe eoeoeeueeeeeeee mek jubilation xaxv man ioe formen amouage main accords,0.3815,0.2325,0.1074,0.3764,TIE,TIE,0.0051,fragrantica-scraper-archive/social-cards/images/2329_100-AMG_2366.jpeg,winter,0.3815,fall,0.3764,0.0051
