prestashop_product_id,shobi_code,original_brand,original_perfume,old_fragrantica_id,new_fragrantica_id,fragrantica_url,result,providers,note
4389,2600-TMU,mugler,Angel Lily,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4388,2375-ESC,Escada,Brisa Cubana Escada,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4387,1702-KUR,Maison Francis Kurkdjian,Oud,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4385,2438-KYLJ,kylie-cosmetics,Cosmic-kylie-jenner-eau-de-,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4375,2562-JUSB,Jusbox,Beat Cafe,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4374,2560-JUSB,Jusbox,Siren-amp-sailors,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4373,2555-BON,Bond No 9,Tribeca,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4372,2583-INI,Initio,Paragon Initio Parfums,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4371,2582-PIER,Pierre Balmain,Carbone Pierre Balmain type,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4370,2581-GUR,Guerlain,Vanille-planifolia-extrait-21,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4369,2584-GIV,Givenchy,Eau de,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4368,2585-SOL,Sol de Janeiro,Summer-e-amor,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4367,2586-DIP,Diptyque,Biscuit DIP,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4366,2587-MAR,Marc Jacobs,Daisy Dream Sunshine,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4365,2553-BON,Bond No 9,Andy Warhol,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4363,2529-VER,Versace,L'Homme Eau de Toilette (Eau de Toilette),,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4362,2537-DRC,Dior,Miss Parfum (2024),,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4361,2535-DRC,Dior,J'adore L'Or (2023),,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4360,2533-RAL,Ralph Lauren,Safari,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4359,2580-KAY,Kayali,Yum Boujee Marshmallow | 81 Kayali Fragrances,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:RemoteDisconnected|bing:0,no candidates
4358,2579-SOS,Sospiro,Maraschino Sospiro Perfumes,,,,UNRESOLVED,bing-rss:1|ddg-html:ERR:URLError|bing:0,weak best=0.385 brand=1.000 perfume=0.000 second=0.000
4357,2578-DON,DKNY,Dkny-24-7,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4356,2577-DOL,Dolce Gabbana,Devotion-eau-de-parfum-intense,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4355,2576-TMFO,Tom Ford,Eau-d-ombre-leather,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4353,2574-MEM,memo-paris,Cappadocia,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4352,2573-KAY,Kayali,Maldives in a Bottle Ylang Coco | 20 Eau de Parfum Kayali Fragrances,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4351,2572-KUR,Maison Francis Kurkdjian,APOM Eau de Parfum,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4350,2597-TMFO,Tom Ford,Amber-intrigue,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4349,2596-PEN,Penhaligons,Halfeti-cedar,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4348,2595-INI,Initio,Mystic Experience Initio Parfums,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4347,2594-HUG,Hugo Boss,Boss Bottled Oud Saffron,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4346,2593-HUG,Hugo Boss,Boss-bottled-elixir,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4345,2592-GOLD,Goldfield & Banks,Pacific Rock Moss Goldfield & Banks Australia,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4344,2591-CRD,Creed,Acqua Fiorentina,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
