prestashop_product_id,shobi_code,brand,perfume,inspired_by,reference,shobi_url,fragrantica_id,gender,season,main_notes,status,source
1923,173-SOS,,,Accento Sospiro,,https://leparfum.com.gr/en/niche-perfumes/accento-sospiro-perfumes-u-type,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2051,174-SOS,,,Erba Pura,,https://leparfum.com.gr/en/niche-perfumes/174-sos-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1416,175-SHA,,,Opulent Shaik Classic No. 33 Eau de Parfum,,https://leparfum.com.gr/en/arabian-perfumes/opulent-shaik-classic-no-33-shaik-type,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2236,176-THAM,,,Peregrina,,https://leparfum.com.gr/en/niche-perfumes/176-tham-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1880,177-TER,,,Kirkè,,https://leparfum.com.gr/en/niche-perfumes/177-ter-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2127,178-VIL,,,Mango Skin,,https://leparfum.com.gr/en/niche-perfumes/178-vil-ν,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2118,179-XER,,,1861 NAXOS,,https://leparfum.com.gr/en/niche-perfumes/179-xer-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2207,180-XER,,,1888,,https://leparfum.com.gr/en/niche-perfumes/180-xer-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1816,181-XER,,,Alexandria II,,https://leparfum.com.gr/en/niche-perfumes/181-xer-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1418,182-XER,,,Comandante,,https://leparfum.com.gr/en/niche-perfumes/182-xer-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1417,183-XER,,,Don,,https://leparfum.com.gr/en/niche-perfumes/183-xer-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
,184-YAS,,,HUBOOB,,,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2111,185-AL HAR,,Red African,Red African,,https://leparfum.com.gr/en/niche-perfumes/red-african-al-haramain-perfumes-original,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
