prestashop_product_id,shobi_code,old_inspired_by,recovered_inspired_by,source,url
2730,1833-SALV,,dalimania salvador dali,url_slug,https://leparfum.com.gr/en/fragrances-for-women/dalimania-salvador-dali-similar-type
2728,1841-BAN,,rosewood banana republic,url_slug,https://leparfum.com.gr/en/fragrances-for-women/rosewood-banana-republic-similar-type
2725,322-NAS,,blamage nasomatto,url_slug,https://leparfum.com.gr/en/niche-perfumes/blamage-nasomatto-clone
2720,201-CLIV,No,No.1 for MEN - CLIVE CHRISTIAN,description,https://leparfum.com.gr/en/niche-perfumes/no1-for-men-clive-christian-similar-type
2719,1840-JOO,,all about eve joop,url_slug,https://leparfum.com.gr/en/fragrances-for-women/all-about-eve-joop-similar-type
2715,1836-COT,,vanilla fields coty,url_slug,https://leparfum.com.gr/en/elegants-fragrances/vanilla-fields-coty-similar-type
2713,1835-JUL,,mmmm juliette has a gun,url_slug,https://leparfum.com.gr/en/elegants-fragrances/mmmm-juliette-has-a-gun-similar-type
2701,1824-VAR,,artisan john varvatos,url_slug,https://leparfum.com.gr/en/fragrances-for-men/artisan-john-varvatos-similar-type
2690,333-ROJ,,a goodnight kiss roja dove,url_slug,https://leparfum.com.gr/en/niche-perfumes/a-goodnight-kiss-roja-dove-perfume-type
2689,1814-AJMA,,mizyaan ajmal arabic,url_slug,https://leparfum.com.gr/en/arabian-perfumes/mizyaan-ajmal-arabic-perfume-type
2688,,,danat al duniya ajmal,url_slug,https://leparfum.com.gr/en/arabian-perfumes/danat-al-duniya-ajmal-perfume-type
2687,1812-ALJA,,palace al jazeera,url_slug,https://leparfum.com.gr/en/arabian-perfumes/palace-al-jazeera-perfumes-type
2686,1811-ALJA,,magic al jazeera,url_slug,https://leparfum.com.gr/en/arabian-perfumes/magic-al-jazeera-perfumes-type
2685,1810-RAS,,la yuqawam tobacco blaze rasasi,url_slug,https://leparfum.com.gr/en/arabian-perfumes/la-yuqawam-tobacco-blaze-rasasi-perfume-type
2684,320-NAS,,baraonda nasomatto,url_slug,https://leparfum.com.gr/en/niche-perfumes/baraonda-nasomatto-perfume-type
2670,1492-ABE,,beacon abercrombie fitch,url_slug,https://leparfum.com.gr/en/fragrances-for-men/beacon-abercrombie-fitch-type
2654,1787-JIM,,i want choo jimmy,url_slug,https://leparfum.com.gr/en/fragrances-for-women/i-want-choo-jimmy-similar-type
2646,1786-COUR,,slogan courreges arwma,url_slug,https://leparfum.com.gr/en/fragrances-for-women/slogan-courreges-arwma
2612,1763-JILS,,sun jil sander,url_slug,https://leparfum.com.gr/en/fragrances-for-women/sun-jil-sander-similar-type
2611,1765-JEN,,miami glow lopez,url_slug,https://leparfum.com.gr/en/fragrances-for-women/miami-glow-lopez-similar
2454,1726-MNTB,,1726 mntb wp,url_slug,https://leparfum.com.gr/en/fragrances-for-women/1726-mntb-wp
2437,1701-TOSC,,tosca tosca,url_slug,https://leparfum.com.gr/en/fragrances-for-women/tosca-tosca-similar-type
2436,1694-TMFO,,1694 tmfo el,url_slug,https://leparfum.com.gr/en/elegants-fragrances/1694-tmfo-el
2403,1656-LOC,,terre de lumiere l occitane,url_slug,https://leparfum.com.gr/en/elegants-fragrances/terre-de-lumiere-l-occitane-similar-type
2401,1659-CHRA,,by night aguilera christina aromata,url_slug,https://leparfum.com.gr/en/fragrances-for-women/by-night-aguilera-christina-aromata
2376,1641-KHAL,,aloha khaltat,url_slug,https://leparfum.com.gr/en/arabian-perfumes/aloha-khaltat-similar-type
2366,1616-MDI,,BARBARE - MDCI,description,https://leparfum.com.gr/en/niche-perfumes/1616-mdi-n
2334,,,wardia al haramain,url_slug,https://leparfum.com.gr/en/niche-perfumes/wardia-al-haramain-fragrance
2331,1550-YAN,,home sweet home yankee arwmata_xvrou,url_slug,https://leparfum.com.gr/en/elegants-fragrances/home-sweet-home-yankee-arwmata_xvrou
2309,1539-ORT,,terroni orto parisi aroma,url_slug,https://leparfum.com.gr/en/luxury-perfumes/terroni-orto-parisi-aroma
