prestashop_product_id,shobi_code,shobi_name,reference,reference_prefix,inspired_by,category,price_from_eur,official_description,url,first_seen,last_seen,status,classification_rule,source
4341,2588-BLG,2588-BLG N,AR479,AR,Onekh,Niche Perfumes,15.0,"2588-BLG N Inspired by the fragrance notes of Onekh. Men perfume leather, amber, warm spicy, animalic, smoky, musky, woody.",https://leparfum.com.gr/en/niche-perfumes/2588-blg-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4340,2568-GIV,2568-GIV W,WP837,WP,L'Interdit Eau de Parfum Rouge Ultime,Fragrances For Women,9.0,"2568-GIV W Inspired by the fragrance notes of L'Interdit Eau de Parfum Rouge Ultime. Woman perfume white floral, tuberose, cacao, warm spicy, sweet, citrus, woody, animalic, patchouli, tobacco.",https://leparfum.com.gr/en/fragrances-for-women/2568-giv-w,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4339,2566-VER,2566-VER M,MP381,MP,Eros Energy,Fragrances For Men,9.0,2566-VER Inspired by the fragrance notes of Eros Energy. Men's fragrance citrus.,https://leparfum.com.gr/en/fragrances-for-men/2566-ver-m,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4338,2565-GUC,2565-GUC MP,MP380,MP,Guilty Elixir de Parfum pour Homme,Fragrances For Men,9.0,"2565-GUC Inspired by the fragrance notes of Guilty Elixir de Parfum pour Homme. Men's fragrance vanilla, white floral, warm spicy, powdery, amber, iris.",https://leparfum.com.gr/en/fragrances-for-men/2565-guc-mp,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4337,2561-SOM,2561-SOM N,AR478,AR,Capriccio Somens,Niche Perfumes,15.0,"Inspired by the fragrance notes of Capriccio Somens. Unisex perfume fruity, sweet, leather, tropical, citrus, smoky, fresh.",https://leparfum.com.gr/en/niche-perfumes/Capriccio-Somens-Perfume,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4336,2551-PAR,2551-PAR EL,EL413,EL,Khair Fusion Paris Corner,Elegants Fragrances,10.0,"Inspired by the fragrance notes of Khair Fusion Paris Corner. Unisex perfume fruity, fresh, tropical, powdery, sweet, vanilla.",https://leparfum.com.gr/en/elegants-fragrances/Khair-Fusion-Paris-Corner-perfume,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4333,2544-ACQ,2544-ACQ W,WP836,WP,Magnolia Nobile,Fragrances For Women,9.0,2544-ACQ Inspired by the fragrance notes of Magnolia Nobile. An elegant floral fragrance where luminous magnolia blends with fresh citrus and soft woods for a refined and feminine scent.,https://leparfum.com.gr/en/fragrances-for-women/2544-acq-w,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4332,2543-HUG,2543-HUG M,MP379,MP,The Scent For Him Magnetic,Fragrances For Men,9.0,"2543-HUG M Inspired by the fragrance notes of The Scent For Him Magnetic. Men's fragrance vanilla, powdery, fruity, sweet.",https://leparfum.com.gr/en/fragrances-for-men/2543-hug-m,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4331,2527-GUR,2527-GUR EL,EL412,EL,Angelique Noire,Elegants Fragrances,10.0,"2527-GUR Inspired by the fragrance notes of Angelique Noire. Unisex perfume musky, vanilla, powdery, amber, sweet.",https://leparfum.com.gr/en/elegants-fragrances/2527-gur-el,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4330,2525-CAR,2525-CAR EL,EL411,EL,Good Girl Supreme,Elegants Fragrances,10.0,2525-CAR Inspired by the fragrance notes of Good Girl Supreme.,https://leparfum.com.gr/en/elegants-fragrances/2525-car-el,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
