prestashop_product_id,shobi_code,inspired_by,code_suffix,inferred_brand,status,match_type,score,candidate_count,fragrantica_brand,fragrantica_perfume,fragrantica_id,fragrantica_url,note
1145,237-JOM,A Shot Of Thai Over Mango - Jo Malone,JOM,Jo Malone London,NOT_FOUND,,,0,,,,,
1144,236-IND,236 ind el,IND,,NOT_FOUND,,,0,,,,,
1143,235-HOLL,235 holl el,HOLL,,NOT_FOUND,,,0,,,,,
1133,230-DIP,OPOPANAX,DIP,Diptyque,NOT_FOUND,,,0,,,,,
1131,228-DIP,FEUILLE DE LAVANDE,DIP,Diptyque,NOT_FOUND,,,0,,,,,
1130,227-DIP,FEU DE BOIS / WOOD FIRE,DIP,Diptyque,NOT_FOUND,,,0,,,,,
1128,225-DIP,EL EAU DES SENS,DIP,Diptyque,NOT_FOUND,,,0,,,,,
1126,223-DIP,BAIES,DIP,Diptyque,NOT_FOUND,,,0,,,,,
1110,204-CRD,Avent,CRD,Creed,NOT_FOUND,,,0,,,,,
1106,200-CIR,200 cir el,CIR,,NOT_FOUND,,,0,,,,,
1009,986-YZLO,OPIUM,YZLO,Yves Saint Laurent,NOT_FOUND,,,0,,,,,
960,926-TOM,tomy girl tommy hilfiger,TOM,,NOT_FOUND,,,0,,,,,
949,913-SIS,eau du soir sisley,SIS,,NOT_FOUND,,,0,,,,,
948,912-SHIS,zen shiseido,SHIS,,NOT_FOUND,,,0,,,,,
946,910-SARJ,lovely sara jessica parker,SARJ,,NOT_FOUND,,,0,,,,,
945,909-SFER,tuscan scent white mimosa ferragamo dupe,SFER,,NOT_FOUND,,,0,,,,,
939,904-SALV,dali parfum salvador dali,SALV,Carlo Dali,NOT_FOUND,,,0,,,,,
938,901-ROG,ROSE - ROGER & GALLET Type,ROG,,NOT_FOUND,,,0,,,,,
908,868-PARH,heirless paris hilton,PARH,,NOT_FOUND,,,0,,,,,
907,867-PAL,paloma picasso,PAL,,NOT_FOUND,,,0,,,,,
892,850-NIN,L'AIR DU TEMPS,NIN,,NOT_FOUND,,,0,,,,,
