shobi_code,brand,perfume,result,fragrantica_id,fragrantica_url,candidate_brand,candidate_perfume,score,provider,note
2350-LOU,Christian Louboutin,Loubiraj is a Leather fragrance for women,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2272-TAU,Tauer,Au Coeur Du Desert,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2346-TMFO,Tom Ford,Vanilla Sex,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2311-YVRO,Yves Rocher,PLAIN SOLEIL - YVES ROCHER,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2314-CAR,Carolina Herrera,UNDER THE SEA WOMAN,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2310-CAR,Carolina Herrera,UNDER THE SEA MAN,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2306-MASQ,Masque Milano,TANGO - MASQUE MILANO,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2309-ATKI,Atkinsons,Oud-save-the-queen-eau-de-,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2296-KAY,Kayali,Oudgasm-cafe-oud-19,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2298-ELEC,Electimuss,Patchouli of the Underworld,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2295-FLOR,Floraiku,One Umbrella For Two,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2271-ROJ,Roja Parfums,ELYSIUM POUR HOMME EAU INTENSE - ROJA DOVE,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2275-ROJ,Roja Parfums,BURLINGTON 1819 - ROJA DOVE,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2270-ORMO,Ormonde Jayne,MONTABACO - ORMONDE JAYNE,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2284-HIS,Histoires de Parfums,1889 - Moulin Rouge,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2264-KAY,Kayali,Oudgasm-tobacco-oud-04,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1866-GUC,Gucci,Guilty Intense,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2259-GIV,Givenchy,GENTLEMAN RESERVE EAU DE PARFUM PRIVE,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2251-JOVP,Jovoy Paris,REMEMBER ME - JOVOY PARIS,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2242-THESPD,the-spirit-of-dubai,The-spirit-of-dubai-turath,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2234-MON,moncler,pour Femme,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2229-ESCE,Escentric Molecules,Molecule-01-patchouli,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2228-ESCE,Escentric Molecules,Molecule-01-iris,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
