shobi_code,prestashop_product_id,shobi_inspired_by,classification,reason,match_type,corpus_status,candidate_count,candidate_fids,candidate_urls
2172-SWISA,,KASHKHA,NOT_FOUND,NO_CORPUS_CODE_MATCH,,MULTIPLE_EXACT,2,19456|21625,https://www.fragrantica.com/perfume/Swiss-Arabian/Kashkha-19456.html|https://www.fragrantica.com/perfume/Arabian-Oud/Kashkha-21625.html
2173-ANFAD,,SUKAR,NOT_FOUND,NO_CORPUS_CODE_MATCH,,UNIQUE_EXACT,1,23000,https://www.fragrantica.com/perfume/Anfasic/Sukar-23000.html
2189-ARM,,STRONGER WITH YOU OUD,NOT_FOUND,NO_CORPUS_CODE_MATCH,,BRAND_TOKEN_MATCH,1,76171,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-Oud-76171.html
2220-AL HAR,,HAYATI,NOT_FOUND,NO_CORPUS_CODE_MATCH,,UNIQUE_EXACT,1,19607,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Hayati-19607.html
2256-GIV,,VERY IRRESISTIBLE,NOT_FOUND,NO_CORPUS_CODE_MATCH,,UNIQUE_EXACT,1,33,https://www.fragrantica.com/perfume/Givenchy/Very-Irresistible-33.html
2282-DRC,3915,Dioriviera Eau de Parfum,NOT_FOUND,NO_CORPUS_CODE_MATCH,,NO_MATCH,0,,
2313-DRC,,SAUVAGE PARFUM 2019,NOT_FOUND,NO_CORPUS_CODE_MATCH,,NO_MATCH,0,,
2331-DOL,,THE ONE MYSTERIOUS NIGHT,NOT_FOUND,NO_CORPUS_CODE_MATCH,,UNIQUE_EXACT,1,50207,https://www.fragrantica.com/perfume/Dolce-Gabbana/The-One-Mysterious-Night-50207.html
2438-KYLJE,,COSMIC,NOT_FOUND,NO_CORPUS_CODE_MATCH,,NO_MATCH,0,,
2514-DRC,4215,Sauvage Eau Forte,NOT_FOUND,NO_CORPUS_CODE_MATCH,,UNIQUE_EXACT,1,95863,https://www.fragrantica.com/perfume/Dior/Sauvage-Eau-Forte-95863.html
2586-DIP,4367,Biscuit DIP,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,
2701-DIP,4640,Cafe Verlet,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,
2816-MOOD,5083,Blonde Maracuja Mood London,NOT_FOUND,NO_FOUND_ID_FOR_CODE,CONFIRMED_MAPPING_ONLY,NO_MATCH,0,,
,2688,Danat Al Duniya Eau de Parfum,NOT_FOUND,NO_CORPUS_CODE_MATCH,,NO_MATCH,0,,
-HUG,,HUGO MAN,NOT_FOUND,NO_CORPUS_CODE_MATCH,,UNIQUE_EXACT,1,64606,https://www.fragrantica.com/perfume/Hugo-Boss/Hugo-Man-64606.html
-VICT,,ANGELS ONLY,NOT_FOUND,NO_CORPUS_CODE_MATCH,,UNIQUE_EXACT,1,24876,https://www.fragrantica.com/perfume/Victoria-s-Secret/Angels-Only-24876.html
ALH004,,Dhahab,NOT_FOUND,NO_CORPUS_CODE_MATCH,,UNIQUE_EXACT,1,53174,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Dhahab-53174.html
ALH078,,Amber Oud Gold Edition,NOT_FOUND,NO_CORPUS_CODE_MATCH,,UNIQUE_EXACT,1,51816,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Amber-Oud-Gold-Edition-51816.html
