shobi_code,shobi_name,classification,historical_id,historical_in_local,historical_local_brand,historical_local_name,historical_local_url,historical_score,historical_coverage,top_local_id,top_local_brand,top_local_name,top_local_url,top_score,top_coverage
908-SFER,SIGNORINA MISTERIOSA - FERRAGAMO,HIST_ID_ABSENT_FROM_LOCAL,32646,no,,,,0.0000,0.0000,33910,Natura,Essencia Misteriosa Pataqueira,https://www.fragrantica.com/perfume/Natura/Essencia-Misteriosa-Pataqueira-33910.html,0.5373,0.3333
909-SFER,TUSCAN SCENT WHITE MIMOSA - FERRAGAMO,HIST_ID_ABSENT_FROM_LOCAL,26777,no,,,,0.0000,0.0000,124758,Zara,Scent No 01 White T Shirt,https://www.fragrantica.com/perfume/Zara/Scent-No-01-White-T-Shirt-124758.html,0.5079,0.4000
910-SARJ,LOVELY,HIST_ID_ABSENT_FROM_LOCAL,993,no,,,,0.0000,0.0000,26572,City Parfum,Lovely,https://www.fragrantica.com/perfume/City-Parfum/Lovely-26572.html,0.7500,1.0000
911-SEPH,Fleur de Coton / Cotton Flower,HIST_ID_ABSENT_FROM_LOCAL,37955,no,,,,0.0000,0.0000,100460,After Blow,Cotton Fog,https://www.fragrantica.com/perfume/After-Blow/Cotton-Fog-100460.html,0.6522,0.2500
912-SHIS,ZEN,HIST_ID_ABSENT_FROM_LOCAL,1499,no,,,,0.0000,0.0000,31476,Auphorie,Zen,https://www.fragrantica.com/perfume/Auphorie/Zen-31476.html,0.7500,1.0000
913-SIS,Eau du Soir,HIST_ID_ABSENT_FROM_LOCAL,1002,no,,,,0.0000,0.0000,103596,Alex Simone,Chanceux du Soir,https://www.fragrantica.com/perfume/Alex-Simone/Chanceux-du-Soir-103596.html,0.7000,1.0000
914-SIS,Eau Tropicale,HIST_ID_ABSENT_FROM_LOCAL,23324,no,,,,0.0000,0.0000,77574,Bioleanes,Emotion Tropicale,https://www.fragrantica.com/perfume/Bioleanes/Emotion-Tropicale-77574.html,0.6667,1.0000
915-SIS,Izia,HIST_ID_ABSENT_FROM_LOCAL,42935,no,,,,0.0000,0.0000,,,,,0.0000,0.0000
916-SOF,Love,HIST_ID_ABSENT_FROM_LOCAL,31662,no,,,,0.0000,0.0000,40317,Accessorize,Love,https://www.fragrantica.com/perfume/Accessorize/Love-40317.html,0.7500,1.0000
917-SWA,Aura,HIST_ID_ABSENT_FROM_LOCAL,11258,no,,,,0.0000,0.0000,64099,Aura Perfume,A E O M,https://www.fragrantica.com/perfume/Aura-Perfume/A-E-O-M-64099.html,1.0000,1.0000
923-TMU,notes AURA,HIST_ID_PRESENT_NEEDS_REVIEW,45639,yes,Mugler,Aura Mugler,https://www.fragrantica.com/perfume/Mugler/Aura-Mugler-45639.html,0.4286,0.5000,121379,Assaf,Aura,https://www.fragrantica.com/perfume/Assaf/Aura-121379.html,0.6000,0.5000
926-TOM,Tommy Girl,HIST_ID_ABSENT_FROM_LOCAL,3016,no,,,,0.0000,0.0000,15163,Charleston Girl,Charleston Girl,https://www.fragrantica.com/perfume/Charleston-Girl/Charleston-Girl-15163.html,0.4167,0.5000
927-TOUZ,Rosa,HIST_ID_ABSENT_FROM_LOCAL,17827,no,,,,0.0000,0.0000,83676,Castelbel,Rosa,https://www.fragrantica.com/perfume/Castelbel/Rosa-83676.html,0.7500,1.0000
929-TRU,Donna,HIST_ID_CONFIRMED_LOCAL,13066,yes,Trussardi,Trussardi Donna 2011,https://www.fragrantica.com/perfume/Trussardi/Trussardi-Donna-2011-13066.html,0.6667,1.0000,9037,Borsalino,Donna,https://www.fragrantica.com/perfume/Borsalino/Donna-9037.html,0.7500,1.0000
931-TRU,INSIDE,HIST_ID_CONFIRMED_LOCAL,883,yes,Trussardi,Trussardi Inside for women,https://www.fragrantica.com/perfume/Trussardi/Trussardi-Inside-for-women-883.html,0.7500,1.0000,884,Trussardi,Trussardi Inside for men,https://www.fragrantica.com/perfume/Trussardi/Trussardi-Inside-for-men-884.html,0.7500,1.0000
935-TRU,Skin,HIST_ID_CONFIRMED_LOCAL,1038,yes,Trussardi,Trussardi Skin,https://www.fragrantica.com/perfume/Trussardi/Trussardi-Skin-1038.html,0.7500,1.0000,30478,Balenciaga,B Balenciaga Skin,https://www.fragrantica.com/perfume/Balenciaga/B-Balenciaga-Skin-30478.html,0.7500,1.0000
942-VERW,Princess,HIST_ID_ABSENT_FROM_LOCAL,1596,no,,,,0.0000,0.0000,97503,Rasasi,Princess,https://www.fragrantica.com/perfume/Rasasi/Princess-97503.html,0.7500,1.0000
