shobi_code,prestashop_product_id,shobi_inspired_by,classification,reason,match_type,corpus_status,candidate_count,candidate_fids,candidate_urls,refined_status,refined_candidates,refined_urls
381-YAN,1265,FRESH CUT ROSES - YANKEE CANDLES,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,,HOME_NO_PERFUME,,
382-YAN,1266,POMEGRANATE CIDER - YANKEE CANDLES,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,,HOME_NO_PERFUME,,
383-YAN,2105,WEDDING DAY - YANKEE,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,,HOME_NO_PERFUME,,
564-DOL,1937,SEXY CHOCLATE,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,,STILL_NO_MATCH,,
720-GUL,,CLASSIQUE,NOT_FOUND,NO_CORPUS_CODE_MATCH,,MULTIPLE_EXACT,2,427|98893,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-427.html|https://www.fragrantica.com/perfume/Athoor-Al-Alam/Classique-98893.html,REFINED_REVIEW,427:1.000|98893:1.000|116397:0.940|8801:0.940|108868:0.940,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-427.html|https://www.fragrantica.com/perfume/Athoor-Al-Alam/Classique-98893.html|https://www.fragrantica.com/perfume/Comme-des-Garcons/Classique-Perdu-116397.html|https://www.fragrantica.com/perfume/DS-Durga/-8801.html|https://www.fragrantica.com/perfume/Fragrance-World/Pur-Classique-108868.html
900-ROG,,FLEUR DE FIGUIER,NOT_FOUND,NO_CORPUS_CODE_MATCH,,NO_MATCH,0,,,STILL_NO_MATCH,,
995-ZAR,,POUR FEMME,NOT_FOUND,NO_CORPUS_CODE_MATCH,,MULTIPLE_EXACT,2,117994|87316,https://www.fragrantica.com/perfume/Amoret/Pour-Femme-117994.html|https://www.fragrantica.com/perfume/Camille-Rochelle/Pour-Femme-87316.html,REFINED_REVIEW,117994:1.000|87316:1.000|71177:0.940|78541:0.940|78544:0.940,https://www.fragrantica.com/perfume/Amoret/Pour-Femme-117994.html|https://www.fragrantica.com/perfume/Camille-Rochelle/Pour-Femme-87316.html|https://www.fragrantica.com/perfume/Afnan/Ornament-Pour-Femme-71177.html|https://www.fragrantica.com/perfume/Afnan/9am-pour-Femme-78541.html|https://www.fragrantica.com/perfume/Afnan/9pm-pour-Femme-78544.html
1076-DRC,,FAHRENEIT,NOT_FOUND,NO_CORPUS_CODE_MATCH,,NO_MATCH,0,,,REFINED_REVIEW,228:1.000|11388:0.940|2609:0.940|987:0.940|6555:0.940,https://www.fragrantica.com/perfume/Dior/Fahrenheit-228.html|https://www.fragrantica.com/perfume/Dior/Aqua-Fahrenheit-11388.html|https://www.fragrantica.com/perfume/Dior/Fahrenheit-0-Degree-2609.html|https://www.fragrantica.com/perfume/Dior/Fahrenheit-32-987.html|https://www.fragrantica.com/perfume/Dior/Fahrenheit-Absolute-6555.html
1121-GFE,,FERRE MAN,NOT_FOUND,NO_CORPUS_CODE_MATCH,,NO_MATCH,0,,,STILL_NO_MATCH,,
1196-LAC,,L.12.12 MAGNETIC,NOT_FOUND,NO_CORPUS_CODE_MATCH,,NO_MATCH,0,,,STILL_NO_MATCH,,
