shobi_code,name,fragrantica_id,final_status,reason
353-TMFO,,55766,FID_MAPPED,
354-TMFO,,45691,FID_MAPPED,
355-TMFO,,12192,FID_MAPPED,
356-TMFO,,32614,FID_MAPPED,
357-TMFO,,15727,FID_MAPPED,
358-TMFO,,1822,FID_MAPPED,
359-TMFO,,29675,FID_MAPPED,
360-TMFO,,30957,FID_MAPPED,
361-TMFO,,50239,FID_MAPPED,
362-TMFO,,38650,FID_MAPPED,
363-TMFO,,45192,FID_MAPPED,
364-TMFO,,1826,FID_MAPPED,
365-TMFO,,28009,FID_MAPPED,
366-TMFO,,18490,FID_MAPPED,
367-TMFO,,58781,FID_MAPPED,
368-TMFO,,17333,FID_MAPPED,
369-TMFO,,17220,FID_MAPPED,
370-TMFO,,44106,FID_MAPPED,
371-TMFO,,34893,FID_MAPPED,
372-TMFO,,48029,FID_MAPPED,
373-TMFO,,21402,FID_MAPPED,
374-TMFO,,1825,FID_MAPPED,
375-TMFO,,1849,FID_MAPPED,
376-TMFO,,22963,FID_MAPPED,
377-TMFO,,3797,FID_MAPPED,
378-TMFO,,6386,FID_MAPPED,
379-YAN,,,TERMINAL_NO_FID,NON_PERSONAL_FRAGRANCE
380-YAN,,,TERMINAL_NO_FID,NON_PERSONAL_FRAGRANCE
381-YAN,,,TERMINAL_NO_FID,NON_PERSONAL_FRAGRANCE
382-YAN,,,TERMINAL_NO_FID,NON_PERSONAL_FRAGRANCE
383-YAN,,,TERMINAL_NO_FID,NON_PERSONAL_FRAGRANCE
384-YAR,,9010,FID_MAPPED,
385-YAR,,9012,FID_MAPPED,
387-,,9351,FID_MAPPED,
390-ACQ,,1688,FID_MAPPED,
391-ACQ,,40154,FID_MAPPED,
392-AER,,19056,FID_MAPPED,
393-AER,,19057,FID_MAPPED,
394-AGE,,45363,FID_MAPPED,
395-AGE,,25352,FID_MAPPED,
396-ANT,,3751,FID_MAPPED,
397-ANT,,37470,FID_MAPPED,
398-AQU,,975,FID_MAPPED,
399-ARA,,122,FID_MAPPED,
400-ARIA,,31661,FID_MAPPED,
401-ARIA,,50384,FID_MAPPED,
402-ARIA,,39970,FID_MAPPED,
403-BAL,,397,FID_MAPPED,
404-BAL,,7247,FID_MAPPED,
405-BAL,,15512,FID_MAPPED,
406-BAL,,21987,FID_MAPPED,
407-BAT,,25388,FID_MAPPED,
408-BAT,,3545,FID_MAPPED,
409-BOB,,10456,FID_MAPPED,
410-BOD,,32247,FID_MAPPED,
411-BOD,,2432,FID_MAPPED,
412-BOD,,44100,FID_MAPPED,
413-BOT,,12863,FID_MAPPED,
414-BOT,,26465,FID_MAPPED,
415-BOU,,29443,FID_MAPPED,
416-BOU,,31618,FID_MAPPED,
417-BOUR,,3604,FID_MAPPED,
418-BRI,,600,FID_MAPPED,
419-BRI,,28607,FID_MAPPED,
420-BRB,,29562,FID_MAPPED,
421-BRB,,13014,FID_MAPPED,
422-BRB,,17320,FID_MAPPED,
423-BRB,,819,FID_MAPPED,
424-BRB,,818,FID_MAPPED,
425-BRB,,51694,FID_MAPPED,
426-BRB,,813,FID_MAPPED,
427-BRB,,25836,FID_MAPPED,
428-BRB,,7613,FID_MAPPED,
429-BRB,,930,FID_MAPPED,
430-BRB,,5946,FID_MAPPED,
431-BRB,,814,FID_MAPPED,
433-BRB,,32566,FID_MAPPED,
434-BRB,,45820,FID_MAPPED,
435-BLG,,29442,FID_MAPPED,
436-BLG,,156,FID_MAPPED,
437-BLG,,142,FID_MAPPED,
438-BLG,,14297,FID_MAPPED,
439-BLG,,31538,FID_MAPPED,
440-BLG,,45241,FID_MAPPED,
441-BLG,,3750,FID_MAPPED,
442-BLG,,11512,FID_MAPPED,
443-BLG,,149,FID_MAPPED,
444-BLG,,151,FID_MAPPED,
445-BLG,,780,FID_MAPPED,
446-BLG,,152,FID_MAPPED,
447-BLG,,23709,FID_MAPPED,
448-BLG,,155,FID_MAPPED,
449-BYR,,6458,FID_MAPPED,
450-BYR,,43324,FID_MAPPED,
451-BYR,,6686,FID_MAPPED,
452-BYR,,8441,FID_MAPPED,
453-BYR,,57007,FID_MAPPED,
454-BYR,,54747,FID_MAPPED,
455-BYR,,46358,FID_MAPPED,
456-CAC,,12764,FID_MAPPED,
457-CAC,,238,FID_MAPPED,
458-CAC,,236,FID_MAPPED,
459-CAC,,23871,FID_MAPPED,
460-CAC,,244,FID_MAPPED,
461-CAC,,246,FID_MAPPED,
462-CAC,,1276,FID_MAPPED,
463-CAC,,242,FID_MAPPED,
464-CAC,,48112,FID_MAPPED,
465-CAL,,8840,FID_MAPPED,
466-CAL,,50662,FID_MAPPED,
467-CAL,,255,FID_MAPPED,
468-CAL,,14606,FID_MAPPED,
469-CAL,,271,FID_MAPPED,
470-CAL,,257,FID_MAPPED,
472-CAL,,253,FID_MAPPED,
473-CAL,,25812,FID_MAPPED,
474-CAL,,79356,FID_MAPPED,
475-CAL,,248,FID_MAPPED,
477-CAL,,26372,FID_MAPPED,
478-CAL,,3592,FID_MAPPED,
479-CAR,,296,FID_MAPPED,
480-CAR,,306,FID_MAPPED,
481-CAR,,10126,FID_MAPPED,
482-CAR,,22857,FID_MAPPED,
483-CAR,,35780,FID_MAPPED,
484-CAR,,13618,FID_MAPPED,
485-CAR,,39681,FID_MAPPED,
486-CAR,,48103,FID_MAPPED,
487-CRT,,12878,FID_MAPPED,
488-CRT,,50748,FID_MAPPED,
489-CRT,,23295,FID_MAPPED,
490-CRT,,312,FID_MAPPED,
491-CRT,,32436,FID_MAPPED,
492-CARV,,17744,FID_MAPPED,
493-CER,,327,FID_MAPPED,
494-CHA,,502,FID_MAPPED,
495-CHA,,606,FID_MAPPED,
497-CHA,,610,FID_MAPPED,
498-CHA,,1483,FID_MAPPED,
499-CHA,,8069,FID_MAPPED,
500-CHA,,11,FID_MAPPED,
501-CHA,,12424,FID_MAPPED,
502-CHA,,608,FID_MAPPED,
503-CHA,,1360,FID_MAPPED,
504-CHA,,38543,FID_MAPPED,
505-CHA,,609,FID_MAPPED,
506-CHA,,611,FID_MAPPED,
507-CHA,,48310,FID_MAPPED,
508-CHA,,15963,FID_MAPPED,
509-CHA,,43718,FID_MAPPED,
510-CHL,,1733,FID_MAPPED,
511-CHL,,39632,FID_MAPPED,
512-CHL,,14000,FID_MAPPED,
513-CHL,,9370,FID_MAPPED,
514-CHL,,26227,FID_MAPPED,
515-CHL,,48434,FID_MAPPED,
516-CHL,,18702,FID_MAPPED,
517-CHL,,17123,FID_MAPPED,
518-CHO,,348,FID_MAPPED,
519-CHO,,30520,FID_MAPPED,
520-CHO,,353,FID_MAPPED,
521-DRC,,215,FID_MAPPED,
522-DRC,,25159,FID_MAPPED,
523-DRC,,224,FID_MAPPED,
524-DRC,,222,FID_MAPPED,
525-DRC,,221,FID_MAPPED,
526-DRC,,3291,FID_MAPPED,
527-DRC,,14984,FID_MAPPED,
528-DRC,,219,FID_MAPPED,
529-DRC,,9600,FID_MAPPED,
530-DRC,,210,FID_MAPPED,
531-DRC,,43704,FID_MAPPED,
532-DRC,,51285,FID_MAPPED,
533-DRC,,1282,FID_MAPPED,
534-DRC,,223,FID_MAPPED,
535-DRC,,39070,FID_MAPPED,
536-DRC,,23280,FID_MAPPED,
537-DRC,,213,FID_MAPPED,
538-DRC,,45202,FID_MAPPED,
539-DRC,,58562,FID_MAPPED,
540-DRC,,218,FID_MAPPED,
541-DRC,,35561,FID_MAPPED,
542-DRC,,214,FID_MAPPED,
543-DRC,,48377,FID_MAPPED,
544-DRC,,220,FID_MAPPED,
545-CLI,,371,FID_MAPPED,
546-CLI,,28532,FID_MAPPED,
547-CLI,,25726,FID_MAPPED,
548-CLI,,372,FID_MAPPED,
549-CLI,,379,FID_MAPPED,
550-COA,,38855,FID_MAPPED,
551-COUR,,40170,FID_MAPPED,
552-DOL,,6086,FID_MAPPED,
553-DOL,,22955,FID_MAPPED,
554-DOL,,29524,FID_MAPPED,
555-DOL,,48151,FID_MAPPED,
556-DOL,,4494,FID_MAPPED,
557-DOL,,485,FID_MAPPED,
558-DOL,,23620,FID_MAPPED,
559-DOL,,36601,FID_MAPPED,
560-DOL,,29959,FID_MAPPED,
561-DOL,,15335,FID_MAPPED,
562-DOL,,18837,FID_MAPPED,
563-DOL,,6461,FID_MAPPED,
564-DOL,,,TERMINAL_NO_FID,INVALID_BRAND_REFERENCE
565-DOL,,486,FID_MAPPED,
566-DOL,,698,FID_MAPPED,
567-DOL,,17124,FID_MAPPED,
568-DOL,,31968,FID_MAPPED,
569-DOL,,51249,FID_MAPPED,
570-DOL,,,UNCLASSIFIED_NO_FID,NO_FID_AND_NOT_IN_TERMINAL_AUDIT
571-DAV,,508,FID_MAPPED,
572-DIE,,12446,FID_MAPPED,
573-DIE,,29771,FID_MAPPED,
574-DON,,498,FID_MAPPED,
575-DON,,39240,FID_MAPPED,
576-DON,,495,FID_MAPPED,
577-DON,,496,FID_MAPPED,
578-DON,,504,FID_MAPPED,
579-DON,,29370,FID_MAPPED,
580-DON,,10914,FID_MAPPED,
581-DON,,25948,FID_MAPPED,
582-DON,,45499,FID_MAPPED,
583-DON,,7973,FID_MAPPED,
584-DSQ,,15481,FID_MAPPED,
585-DSQ,,3552,FID_MAPPED,
586-DSQ,,31292,FID_MAPPED,
587-DSQ,,40156,FID_MAPPED,
588-ELI,,12258,FID_MAPPED,
589-ELI,,45686,FID_MAPPED,
590-ELIZ,,81,FID_MAPPED,
591-ELIZ,,24471,FID_MAPPED,
592-ELIZ,,86,FID_MAPPED,
593-ELZT,,887,FID_MAPPED,
594-EMAN,,901,FID_MAPPED,
595-EMIL,,21762,FID_MAPPED,
596-ESC,,32741,FID_MAPPED,
597-ESC,,22106,FID_MAPPED,
598-ESC,,46180,FID_MAPPED,
599-ESC,,17129,FID_MAPPED,
600-ESC,,41897,FID_MAPPED,
601-ESC,,58398,FID_MAPPED,
602-ESC,,25459,FID_MAPPED,
603-ESC,,3861,FID_MAPPED,
604-ESC,,1036,FID_MAPPED,
605-ESC,,53054,FID_MAPPED,
606-ESC,,1365,FID_MAPPED,
607-ESC,,7303,FID_MAPPED,
608-ESC,,1887,FID_MAPPED,
609-ESC,,1179,FID_MAPPED,
610-ESC,,47255,FID_MAPPED,
611-ESC,,10611,FID_MAPPED,
612-ESC,,,UNCLASSIFIED_NO_FID,NO_FID_AND_NOT_IN_TERMINAL_AUDIT
613-ESC,,28630,FID_MAPPED,
614-EST,,528,FID_MAPPED,
615-EST,,50793,FID_MAPPED,
616-EST,,530,FID_MAPPED,
617-EST,,4942,FID_MAPPED,
618-EST,,14309,FID_MAPPED,
619-EST,,2857,FID_MAPPED,
620-EST,,11537,FID_MAPPED,
621-EST,,43639,FID_MAPPED,
622-EST,,546,FID_MAPPED,
623-EST,,544,FID_MAPPED,
624-EST,,541,FID_MAPPED,
625-EST,,548,FID_MAPPED,
626-EST,,18319,FID_MAPPED,
627-EST,,31293,FID_MAPPED,
628-EST,,40455,FID_MAPPED,
629-EST,,536,FID_MAPPED,
630-EST,,1988,FID_MAPPED,
631-EST,,547,FID_MAPPED,
632-EST,,6066,FID_MAPPED,
633-EST,,101277,FID_MAPPED,
634-EST,,2938,FID_MAPPED,
635-EST,,9895,FID_MAPPED,
636-EST,,12219,FID_MAPPED,
637-EST,,552,FID_MAPPED,
638-EST,,542,FID_MAPPED,
639-FEN,,200,FID_MAPPED,
640-FEN,,18706,FID_MAPPED,
641-FRE,,10464,FID_MAPPED,
643-ARM,,8442,FID_MAPPED,
644-ARM,,12402,FID_MAPPED,
645-ARM,,30621,FID_MAPPED,
646-ARM,,413,FID_MAPPED,
647-ARM,,42278,FID_MAPPED,
648-ARM,,31664,FID_MAPPED,
649-ARM,,30323,FID_MAPPED,
650-ARM,,45257,FID_MAPPED,
651-ARM,,417,FID_MAPPED,
652-ARM,,52801,FID_MAPPED,
653-ARM,,423,FID_MAPPED,
654-ARM,,62036,FID_MAPPED,
655-ARM,,18453,FID_MAPPED,
656-ARM,,53243,FID_MAPPED,
657-ARM,,25947,FID_MAPPED,
658-ARM,,48002,FID_MAPPED,
659-ARM,,58737,FID_MAPPED,
660-ARM,,35248,FID_MAPPED,
661-ARM,,36600,FID_MAPPED,
662-GIV,,3,FID_MAPPED,
663-GIV,,757,FID_MAPPED,
664-GIV,,701,FID_MAPPED,
665-GIV,,17610,FID_MAPPED,
666-GIV,,25972,FID_MAPPED,
667-GIV,,12146,FID_MAPPED,
668-GIV,,35,FID_MAPPED,
669-GIV,,4695,FID_MAPPED,
670-GIV,,4,FID_MAPPED,
671-GIV,,9369,FID_MAPPED,
673-GRS,,1061,FID_MAPPED,
674-GUC,,30815,FID_MAPPED,
675-GUC,,44894,FID_MAPPED,
676-GUC,,5226,FID_MAPPED,
677-GUC,,1150,FID_MAPPED,
678-GUC,,9677,FID_MAPPED,
679-GUC,,17321,FID_MAPPED,
680-GUC,,15449,FID_MAPPED,
681-GUC,,686,FID_MAPPED,
682-GUR,,18061,FID_MAPPED,
683-GUR,,48678,FID_MAPPED,
684-GUR,,48679,FID_MAPPED,
685-GUR,,25330,FID_MAPPED,
686-GUR,,667,FID_MAPPED,
687-GUR,,51,FID_MAPPED,
688-GUR,,1106,FID_MAPPED,
689-GUR,,25316,FID_MAPPED,
690-GUR,,43297,FID_MAPPED,
691-GUR,,5993,FID_MAPPED,
692-GUR,,55,FID_MAPPED,
693-GUR,,33557,FID_MAPPED,
694-GUR,,24785,FID_MAPPED,
695-GUE,,26415,FID_MAPPED,
696-GLA,,2068,FID_MAPPED,
697-HER,,2669,FID_MAPPED,
698-HER,,9,FID_MAPPED,
699-HER,,42747,FID_MAPPED,
700-HER,,3168,FID_MAPPED,
701-HER,,39584,FID_MAPPED,
702-HER,,17076,FID_MAPPED,
703-HER,,1335,FID_MAPPED,
704-HER,,15949,FID_MAPPED,
705-HER,,29818,FID_MAPPED,
706-HER,,2674,FID_MAPPED,
707-HER,,46145,FID_MAPPED,
708-HER,,18,FID_MAPPED,
709-HER,,7916,FID_MAPPED,
710-HUG,,18385,FID_MAPPED,
711-HUG,,5979,FID_MAPPED,
712-HUG,,381,FID_MAPPED,
713-HUG,,25298,FID_MAPPED,
714-HUG,,38998,FID_MAPPED,
715-HUG,,34870,FID_MAPPED,
716-ISS,,6432,FID_MAPPED,
717-ISS,,720,FID_MAPPED,
718-ISS,,720,FID_MAPPED,
719-ISS,,15464,FID_MAPPED,
720-GUL,,427,FID_MAPPED,
721-GUL,,39582,FID_MAPPED,
722-GUL,,55786,FID_MAPPED,
723-GUL,,7800,FID_MAPPED,
724-GUL,,45651,FID_MAPPED,
725-GUL,,50715,FID_MAPPED,
726-GUL,,60942,FID_MAPPED,
727-JEN,,29758,FID_MAPPED,
728-JES,,719,FID_MAPPED,
729-JIM,,29165,FID_MAPPED,
730-JIM,,18386,FID_MAPPED,
731-JIM,,49615,FID_MAPPED,
732-JIM,,17223,FID_MAPPED,
733-JIM,,31233,FID_MAPPED,
734-JIM,,10573,FID_MAPPED,
735-JIM,,27431,FID_MAPPED,
736-JUI,,6496,FID_MAPPED,
737-JUI,,22956,FID_MAPPED,
738-JUI,,4410,FID_MAPPED,
739-JUI,,25753,FID_MAPPED,
740-JUI,,22574,FID_MAPPED,
741-JUI,,33567,FID_MAPPED,
742-JUI,,42053,FID_MAPPED,
743-JUS,,15287,FID_MAPPED,
744-JUS,,18665,FID_MAPPED,
745-KAR,,24068,FID_MAPPED,
746-KAR,,35570,FID_MAPPED,
747-KEN,,4696,FID_MAPPED,
748-KEN,,23315,FID_MAPPED,
749-KEN,,72,FID_MAPPED,
750-KEN,,31539,FID_MAPPED,
751-KEN,,25866,FID_MAPPED,
752-KEN,,70,FID_MAPPED,
753-KEN,,3403,FID_MAPPED,
754-KEN,,78,FID_MAPPED,
755-KEN,,76,FID_MAPPED,
756-KEN,,40278,FID_MAPPED,
757-KIL,,50498,FID_MAPPED,
758-KIL,,6457,FID_MAPPED,
759-KIL,,50495,FID_MAPPED,
760-KIL,,43632,FID_MAPPED,
761-KIL,,15924,FID_MAPPED,
762-KIL,,25991,FID_MAPPED,
763-KIL,,50496,FID_MAPPED,
764-KIL,,4321,FID_MAPPED,
765-KIL,,4322,FID_MAPPED,
766-KIL,,35973,FID_MAPPED,
767-KIL,,31625,FID_MAPPED,
768-KIL,,46469,FID_MAPPED,
770-LAP,,824,FID_MAPPED,
771-LAP,,823,FID_MAPPED,
772-LAD,,15338,FID_MAPPED,
773-LAL,,1835,FID_MAPPED,
774-LAL,,29816,FID_MAPPED,
775-LAL,,1833,FID_MAPPED,
776-LAL,,17840,FID_MAPPED,
777-LAL,,28250,FID_MAPPED,
778-LAN,,180,FID_MAPPED,
779-LAN,,170,FID_MAPPED,
780-LAN,,55795,FID_MAPPED,
781-LAN,,39737,FID_MAPPED,
782-LAN,,14982,FID_MAPPED,
