shobi_code,shobi_name,old_classification,old_brand_hint,old_brand_source,old_cand1_id,fallback_classification,fallback_margin,cand1_id,cand1_brand,cand1_name,cand1_score,cand1_url,cand2_id,cand2_brand,cand2_name,cand2_score,cand2_url,cand3_id,cand3_brand,cand3_name,cand3_score,cand3_url,cand4_id,cand4_brand,cand4_name,cand4_score,cand4_url,cand5_id,cand5_brand,cand5_name,cand5_score,cand5_url
802-LBI,VENEZIA - LAURA BIAGIOTTI,WEAK_REVIEW,,,101588,GLOBAL_WEAK,0.0000,130238,Cornerland,Venezia,1.0000,https://www.fragrantica.com/perfume/Cornerland/Venezia-130238.html,101588,Duomo Perfume House,Venezia,1.0000,https://www.fragrantica.com/perfume/Duomo-Perfume-House/Venezia-101588.html,4900,Adrienne Vittadini,Venezia,1.0000,https://www.fragrantica.com/perfume/Adrienne-Vittadini/Venezia-4900.html,57431,Al Musbah,Oud Venezia,0.7778,https://www.fragrantica.com/perfume/Al-Musbah/Oud-Venezia-57431.html,,,,,
805-LOL,L DE LOLITA LEMPICKA,WEAK_REVIEW,,,94766,GLOBAL_WEAK,0.0000,15854,Black Phoenix Alchemy Lab,Lolita,0.6667,https://www.fragrantica.com/perfume/Black-Phoenix-Alchemy-Lab/Lolita-15854.html,94766,MAISON ASRAR,Lolita,0.6667,https://www.fragrantica.com/perfume/MAISON-ASRAR/Lolita-94766.html,,,,,,,,,,,,,,,
806-LOL,L Eau Jolie,WEAK_REVIEW,,,42811,GLOBAL_WEAK,0.0000,44369,Bahoma London,Jolie,1.0000,https://www.fragrantica.com/perfume/Bahoma-London/Jolie-44369.html,13363,Cerchi Nell Acqua,Jolie,1.0000,https://www.fragrantica.com/perfume/Cerchi-Nell-Acqua/Jolie-13363.html,42811,Dans un Jardin,Jolie,1.0000,https://www.fragrantica.com/perfume/Dans-un-Jardin/Jolie-42811.html,17743,Ava Luxe,Vanille Jolie,0.6667,https://www.fragrantica.com/perfume/Ava-Luxe/Vanille-Jolie-17743.html,131767,Caline,Tres Jolie,0.6667,https://www.fragrantica.com/perfume/Caline/Tres-Jolie-131767.html
807-LOL,LOLITA - LOLITA LEMPICKA,WEAK_REVIEW,,,94766,GLOBAL_WEAK,0.0000,15854,Black Phoenix Alchemy Lab,Lolita,1.0000,https://www.fragrantica.com/perfume/Black-Phoenix-Alchemy-Lab/Lolita-15854.html,94766,MAISON ASRAR,Lolita,1.0000,https://www.fragrantica.com/perfume/MAISON-ASRAR/Lolita-94766.html,26974,Christine Lavoisier Parfums,Burlesk Lolita,0.6667,https://www.fragrantica.com/perfume/Christine-Lavoisier-Parfums/Burlesk-Lolita-26974.html,,,,,,,,,,
808-LOL,Sweet,WEAK_REVIEW,,,27065,GLOBAL_WEAK,0.0000,27065,Apple Parfums,Sweet,1.0000,https://www.fragrantica.com/perfume/Apple-Parfums/Sweet-27065.html,16570,Zara,Sweet,1.0000,https://www.fragrantica.com/perfume/Zara/Sweet-16570.html,27045,Apple Parfums,My Sweet,0.7692,https://www.fragrantica.com/perfume/Apple-Parfums/My-Sweet-27045.html,47047,Aquolina,Sweet Me,0.7692,https://www.fragrantica.com/perfume/Aquolina/Sweet-Me-47047.html,77529,Bath Body Works,Sweet Pea,0.7143,https://www.fragrantica.com/perfume/Bath-Body-Works/Sweet-Pea-77529.html
816-MAX,MAX MARA,WEAK_REVIEW,,,85350,GLOBAL_WEAK,0.0000,85350,Dzintars,Mara,0.6667,https://www.fragrantica.com/perfume/Dzintars/Mara-85350.html,19814,Al Haramain Perfumes,Max d,0.6667,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Max-d-19814.html,55558,Natura,K Max,0.6667,https://www.fragrantica.com/perfume/Natura/K-Max-55558.html,,,,,,,,,,
817-MIC,Gold Collection  24k Brilliant Gold,NO_CANDIDATE,Michael Kors,verified_suffix,,GLOBAL_WEAK,0.6667,100988,Rasasi,Brilliant Gold,0.6667,https://www.fragrantica.com/perfume/Rasasi/Brilliant-Gold-100988.html,,,,,,,,,,,,,,,,,,,,
819-MIC,SEXY AMBER - KORS,NO_CANDIDATE,Michael Kors,verified_suffix,68626,GLOBAL_WEAK,0.0000,50770,Lalique,Sweet Amber,0.7619,https://www.fragrantica.com/perfume/Lalique/Sweet-Amber-50770.html,121853,Victoria s Secret,Peony Amber,0.7619,https://www.fragrantica.com/perfume/Victoria-s-Secret/Peony-Amber-121853.html,95206,Aquarabia,Smoke Amber,0.7619,https://www.fragrantica.com/perfume/Aquarabia/Smoke-Amber-95206.html,115997,CoSTUME NATIONAL,Fiery Amber,0.7619,https://www.fragrantica.com/perfume/CoSTUME-NATIONAL/Fiery-Amber-115997.html,108775,Al Jazeera Perfumes,Smoky Amber,0.7619,https://www.fragrantica.com/perfume/Al-Jazeera-Perfumes/Smoky-Amber-108775.html
821-MIC,SEXY SUNSET - KORS,NO_CANDIDATE,Michael Kors,verified_suffix,68626,GLOBAL_ALTERNATIVE,0.0381,103591,Alex Simone,Le Sunset,0.8000,https://www.fragrantica.com/perfume/Alex-Simone/Le-Sunset-103591.html,87159,d grayi,Sexy Skunk,0.7619,https://www.fragrantica.com/perfume/d-grayi/Sexy-Skunk-87159.html,126624,Athena Club,Salted Sunset,0.7500,https://www.fragrantica.com/perfume/Athena-Club/Salted-Sunset-126624.html,69128,Zara,Incense Sunset,0.7200,https://www.fragrantica.com/perfume/Zara/Incense-Sunset-69128.html,25305,Victoria s Secret,Sunset,0.7059,https://www.fragrantica.com/perfume/Victoria-s-Secret/Sunset-25305.html
823-MIC,Sporty Citrus,NO_CANDIDATE,Michael Kors,verified_suffix,68626,GLOBAL_WEAK,0.0000,81415,Amouroud,Smoky Citrus,0.8000,https://www.fragrantica.com/perfume/Amouroud/Smoky-Citrus-81415.html,136501,Barbour s Beauty,Solar Citrus,0.8000,https://www.fragrantica.com/perfume/Barbour-s-Beauty/Solar-Citrus-136501.html,36835,Victoria s Secret,Pure Citrus,0.7500,https://www.fragrantica.com/perfume/Victoria-s-Secret/Pure-Citrus-36835.html,114137,Areej,Pura Citrus,0.7500,https://www.fragrantica.com/perfume/Areej/Pura-Citrus-114137.html,135717,Dyrose,Creamy Citrus,0.6923,https://www.fragrantica.com/perfume/Dyrose/Creamy-Citrus-135717.html
